User ID,User Name,User Birthdate,User Creation,User Email,User Phone,User Address,User Country
1c0ef5cb-fa3b-48a3-89f6-709d56821f3f,Samuel Nogueira,26/09/1992 08:44:40,28/04/2023 20:34:01,Samuel.Nogueira@bol.com.br,+55 (9) 2037-9286,91933 Moraes Avenida Lote 37,Brasil
b1b13361-0b52-4115-b042-acf7fa60be6b,Ana Laura Martins,15/10/1956 16:30:49,28/04/2023 16:52:40,AnaLaura43@yahoo.com,+55 (9) 4797-1907,708 Macedo Rua Casa 0,Brasil
60741486-5eac-431b-994f-79ecefb5258c,Kléber Carvalho,14/04/1950 23:33:18,27/04/2023 10:23:34,Klber.Carvalho@bol.com.br,+55 (9) 8493-5830,955 Reis Marginal Casa 4,Brasil
0936d946-cba8-45d1-8f45-cb2759a8aad5,Srta. Samuel Franco,02/01/1986 09:42:11,28/04/2023 02:50:53,Samuel_Franco@gmail.com,+55 (9) 6946-7976,483 Felícia Travessa Quadra 01,Brasil
bbfa868d-c457-4281-948c-7096f7303749,Lucas Pereira,20/05/1945 10:03:46,28/04/2023 07:53:25,Lucas.Pereira46@bol.com.br,+55 (9) 3257-4904,005 Vicente Alameda Apto. 271,Brasil
062dc1bf-5098-4e2a-91b8-d8214b9977e7,Samuel Melo,25/11/1950 23:36:39,27/04/2023 23:58:41,Samuel.Melo84@gmail.com,+55 (9) 1126-3823,795 Mariana Rodovia Lote 01,Brasil
1bb82dfa-db14-44f2-a6f4-96e68464dee8,Deneval Reis,17/02/1956 23:40:09,27/04/2023 14:21:54,Deneval_Reis@hotmail.com,+55 (9) 2589-6628,77283 Maria Avenida Sobrado 97,Brasil
54f8101a-61ee-4c3c-8644-140da6753173,Ana Laura Batista,25/10/1943 04:05:52,27/04/2023 08:24:27,AnaLaura40@gmail.com,+55 (9) 0288-9401,19871 Heitor Rua Quadra 01,Brasil
627d595d-f813-4916-a4b3-d250500f3886,Yasmin Melo,09/02/1977 00:02:21,27/04/2023 19:05:14,Yasmin_Melo68@yahoo.com,+55 (9) 1500-3703,3368 Saraiva Alameda Apto. 566,Brasil
2aa30059-cdad-425a-8bb6-781e070a35ee,Sr. Cauã Martins,04/01/1987 19:41:10,27/04/2023 02:42:56,Cau49@yahoo.com,+55 (9) 3075-0946,25831 Souza Travessa Sobrado 94,Brasil
4a9aebf0-1576-4cec-8879-0b558a6d2023,Heitor Silva,17/03/1986 02:17:35,27/04/2023 09:12:38,Heitor_Silva@live.com,+55 (9) 1611-6908,909 Arthur Marginal Quadra 67,Brasil
7fa5cfa4-4c1d-47fd-bf53-b42b7315b516,Kléber Oliveira Jr.,22/08/1971 05:16:12,28/04/2023 15:24:53,Klber_Oliveira31@bol.com.br,+55 (9) 0276-9342,603 Pereira Rua Quadra 38,Brasil
487e9f23-e1d8-45d3-b8be-b331ff8c82f6,Mércia Silva,09/03/1988 21:59:35,27/04/2023 21:23:02,Mrcia_Silva42@gmail.com,+55 (9) 0024-8245,4105 Esther Rodovia Lote 24,Brasil
c0730c8f-cae8-488a-8170-1f6473be4e75,Silas Reis,30/09/1994 18:46:19,28/04/2023 08:26:30,Silas.Reis@yahoo.com,+55 (9) 6466-6930,16554 Macedo Rua Sobrado 92,Brasil
da4231ec-efa6-4fff-8491-2b2a90461377,Dra. Feliciano Silva,08/09/1943 04:28:28,27/04/2023 01:12:44,Feliciano_Silva@live.com,+55 (9) 7626-9454,6835 Barros Avenida Quadra 04,Brasil
051bd711-171f-458a-80eb-a62612be6bcd,Maitê Martins,07/08/1964 19:23:11,28/04/2023 16:12:48,Mait_Martins@hotmail.com,+55 (9) 1094-8857,08226 Sophia Marginal Apto. 098,Brasil
6ed55821-d61f-401d-a4ed-a5f374a936d5,Natália Melo,07/03/1959 05:41:19,28/04/2023 15:37:00,Natlia_Melo62@hotmail.com,+55 (9) 6991-5358,1294 Oliveira Rodovia Lote 40,Brasil
c5a0fb50-0e0a-470d-9221-84902cc78256,Silas Franco,13/01/1985 16:34:41,28/04/2023 13:53:19,Silas_Franco3@live.com,+55 (9) 3090-3608,847 Santos Alameda Casa 3,Brasil
bef8a129-ab92-451a-b4ce-8aab98f52b89,Lucas Saraiva,20/07/1960 01:14:41,28/04/2023 00:53:42,Lucas57@bol.com.br,+55 (9) 6892-6707,9244 Reis Travessa Lote 33,Brasil
f0a3a05c-e97e-4b3e-ba58-f86947162751,Dr. Fabiano Moraes Neto,10/10/1983 17:11:06,27/04/2023 11:55:16,Fabiano_Moraes@gmail.com,+55 (9) 8694-9658,5895 Heitor Travessa Apto. 506,Brasil
